checkpoint,checkpoint_path,quality,yaw_bin,windows,action_mse_mean,action_l2_error_mean,target_action_l2_mean,pred_action_l2_mean,action_rate_l2_mean
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.5140280071290927e-05,0.004146391695195978,0.3458258245697469,0.3453873301531213,0.02063605739923516
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.623449128188716e-05,0.005510445675747194,0.3487458348003915,0.34813323637255195,0.0395740955865302
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.0024912934894709624,0.04948357278986495,0.3115612887596899,0.30802550796390504,0.06987823072329973
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.0025080554671101755,0.04963565182376217,0.32964907064066307,0.32642760834136564,0.07476287073903269
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.002490652234930741,0.04942604115134791,0.3294248580932617,0.3264159403349224,0.08320167190150211
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.002445799339076747,0.04896143208379331,0.3415055274963379,0.33959971303525177,0.09179853356402853
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert,"[0,0.175)",479,1.2220192281626522e-05,0.0033312337103616717,0.3025883473533678,0.3024768032957965,0.0036408105449039405
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.8745512870612415e-05,0.0039537171386692625,0.33772313496837875,0.33761714125332765,0.012029421329498292
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.6741739593943323e-05,0.004338894618396536,0.3458258245697469,0.3455479753332054,0.02063605739923516
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.669197525077261e-05,0.005536708330351209,0.3487458348003915,0.3483477179425644,0.0395740955865302
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.0024879500847454217,0.04944626120633857,0.3115612887596899,0.30794835645099017,0.06987823072329973
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.002508449670556304,0.049644606454031806,0.32964907064066307,0.3266704608867695,0.07476287073903269
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.0024902671575546265,0.049414766462225666,0.3294248580932617,0.32680559158325195,0.08320167190150211
yawboost_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.0024490222010923467,0.048993587493896484,0.3415055274963379,0.3398554014123004,0.09179853356402853
